Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Topic
"Which statement best describes glycolysis in anaerobic muscle during intense exercise?","It converts two molecules of pyruvate into glucose while consuming two ATP and producing no NADH.","It splits glucose into two pyruvate molecules, yielding a net of two ATP and two NADH, and regenerates NAD⁺ by reducing pyruvate to lactate.","It occurs in mitochondria and yields 4 ATP per glucose but requires oxygen to regenerate NAD⁺.","It oxidizes glucose completely to CO₂, producing the majority of ATP in aerobic respiration.",B,"Glycolysis splits glucose into two pyruvate molecules, netting 2 ATP and producing 2 NADH. Under anaerobic conditions NADH must be reoxidized; lactate dehydrogenase reduces pyruvate to lactate to regenerate NAD⁺.",Medium,"Glycolysis & fermentation"
"What is the total number of NADH, FADH₂ and ATP molecules produced per glucose during pyruvate oxidation and the citric acid cycle combined?","2 NADH, 0 FADH₂ and 2 ATP","4 NADH, 2 FADH₂ and 2 ATP","2 NADH, 1 FADH₂ and 1 ATP","8 NADH, 2 FADH₂ and 2 ATP",D,"Two pyruvates yield 2 NADH in the transition reaction and 6 NADH, 2 FADH₂ and 2 ATP in the citric acid cycle.",Medium,"Citric acid cycle & energy yield"
"Why does NADH yield more ATP than FADH₂ in oxidative phosphorylation?","NADH donates electrons at complex I, which pumps protons, whereas FADH₂ donates at complex II, which does not pump protons.","NADH carries twice as many electrons per molecule as FADH₂.","FADH₂ is converted back to FAD in the cytosol, bypassing the electron transport chain.","FADH₂ enters the electron transport chain at complex IV, which consumes ATP.",A,"NADH donates electrons at complex I, which pumps protons; FADH₂ donates at complex II, which does not pump protons.",Medium,"ETC & oxidative phosphorylation"
"What process directly uses the proton gradient across the inner mitochondrial membrane to synthesize ATP?","Electron transfer from cytochrome c to oxygen","Substrate-level phosphorylation in the citric acid cycle","Oxidative phosphorylation via ATP synthase, whose rotor turns as protons flow through it","Conversion of lactate to pyruvate in the cytosol",C,"Oxidative phosphorylation uses the proton gradient; protons flow through ATP synthase, driving its rotor.",Medium,"Oxidative phosphorylation & ATP synthase"
"Under typical conditions, approximately how many ATP molecules are generated per molecule of glucose in mammalian cells during aerobic respiration, and why is the number not exact?","2 ATP; because NADH produced in glycolysis cannot enter mitochondria.","4 ATP; because electron transport is inefficient.","30–32 ATP; because ATP yield varies depending on which shuttle transports cytosolic NADH into mitochondria.","36–38 ATP; because FADH₂ yields the same number of ATP as NADH.",C,"About 30–32 ATP are produced because the ATP yield per cytosolic NADH varies with the shuttle used to transport electrons into mitochondria.",Medium,"Overall ATP yield of respiration"
"Which combination of effectors correctly describes regulation of phosphofructokinase-1 (PFK-1)?","Activated by high ATP and citrate; inhibited by AMP and fructose-2,6-bisphosphate.","Inhibited by high ATP and citrate and low pH; activated by AMP and fructose-2,6-bisphosphate.","Inhibited by AMP; activated by ATP.","Activated by low pH; inhibited by AMP.",B,"High ATP, citrate and low pH inhibit PFK-1, while AMP and fructose-2,6-bisphosphate activate it.",Hard,"Glycolysis regulation (PFK-1)"
"Which enzymes in the citric acid cycle are inhibited by high ATP and NADH levels, and what product of the cycle also inhibits one of them?","Citrate synthase and succinate dehydrogenase; malate.","Isocitrate dehydrogenase and α-ketoglutarate dehydrogenase; succinyl-CoA.","Aconitase and malate dehydrogenase; fumarate.","Pyruvate dehydrogenase and isocitrate dehydrogenase; α-ketoglutarate.",B,"Isocitrate dehydrogenase and α-ketoglutarate dehydrogenase are inhibited by high ATP and NADH; succinyl-CoA provides product inhibition.",Hard,"Citric acid cycle regulation"
"How does the availability of ADP influence oxygen consumption in mitochondria?","High ADP slows electron transport, decreasing oxygen consumption.","High ATP stimulates proton pumping, increasing oxygen consumption.","High ADP stimulates ATP synthase and accelerates electron flow and oxygen consumption.","Oxygen consumption is independent of ADP concentrations.",C,"High ADP stimulates ATP synthase; proton flow resumes and electron transport and oxygen consumption increase.",Medium,"ETC regulation by ADP/ATP"
"Which statement best describes the fate of glycerol and fatty acids after triglyceride breakdown?","Glycerol enters gluconeogenesis as oxaloacetate; fatty acids are converted directly into glucose.","Glycerol is deaminated to form ketone bodies; fatty acids undergo glycolysis.","Glycerol enters glycolysis at dihydroxyacetone phosphate, and fatty acids undergo β-oxidation to yield acetyl-CoA units.","Both glycerol and fatty acids are converted into lactate under anaerobic conditions.",C,"Glycerol enters glycolysis as DHAP and fatty acids undergo β-oxidation to form acetyl-CoA.",Medium,"Alternative fuels – lipids"
"Why is protein catabolism considered a last resort for energy production?","Because amino acids cannot be converted into citric acid cycle intermediates.","Because removal of amino groups yields toxic ammonia and urea, and breaking down structural proteins compromises cell function.","Because protein catabolism produces more ATP per carbon than fats.","Because amino acids contain no energy in their carbon skeletons.",B,"Protein catabolism removes amino groups, forming urea, and degrades essential structural proteins.",Medium,"Alternative fuels – proteins"
"In fermentation, how are NADH molecules reoxidized to NAD⁺ and why does fermentation yield so little ATP?","NADH transfers electrons to an inorganic acceptor; fermentation yields little ATP because proton pumping is uncoupled.","NADH donates electrons to an organic molecule such as pyruvate or acetaldehyde, and because there is no electron transport chain, only the two ATP from glycolysis are produced.","NADH is oxidized in the mitochondria; fermentation yields little ATP because oxygen consumption is high.","NADH is converted into FADH₂; fermentation yields few ATP because FADH₂ produces less ATP.",B,"NADH is reoxidized by transferring electrons to an organic molecule; because there is no ETC, only the 2 ATP from glycolysis are produced.",Medium,"Fermentation & redox balance"
"Which statement about the Cori cycle is correct?","Lactate is produced in the liver and exported to muscle where it is converted to glucose.","Lactate from muscle is converted to glucose in the liver via gluconeogenesis, consuming ATP, and the glucose is returned to muscle.","The Cori cycle generates ATP in the liver and supplies it to muscle.","The cycle converts lactate to ethanol in the liver.",B,"Muscle lactate travels to the liver, where gluconeogenesis converts it back into glucose at the expense of ATP.",Medium,"Cori cycle (lactate shuttle)"
"In a respirometer experiment, why is it necessary to include a vial with glass beads and KOH but no living tissue?","To provide extra volume for oxygen absorption.","To measure the expansion of gases due to temperature and pressure changes and serve as a control for non-respiratory volume changes.","To supply additional CO₂ for the germinating peas.","To absorb oxygen from the atmosphere so that the seeds have less O₂.",B,"The glass-bead vial corrects for changes in gas volume due to temperature or atmospheric pressure, serving as a control.",Medium,"Experimental design – respirometer control"
"Which chemical reaction explains the role of KOH in a respirometer?","CO₂ + 2 KOH → K₂CO₃ + H₂O","2 KOH + O₂ → 2 KO₂ + H₂O","CO₂ + H₂O → H₂CO₃","CO₂ + O₂ → C₂O₄",A,"CO₂ reacts with KOH to form solid K₂CO₃ and water, removing CO₂ so that changes in gas volume reflect O₂ consumption.",Medium,"Respirometer chemistry (CO₂ absorption)"
"How is oxygen consumption rate calculated from respirometer data?","By dividing total volume change by the number of seeds.","By taking the slope of the line on a volume-versus-time graph; a steeper negative slope indicates faster respiration.","By measuring the area under the curve of a volume graph.","By counting the number of bubbles produced per minute.",B,"The slope of volume change vs. time gives the rate; a steeper negative slope indicates faster respiration.",Easy,"Data analysis – respirometry"
"What happens to oxygen consumption and ATP synthesis when isolated mitochondria are exposed to the following inhibitors?","Cyanide increases oxygen consumption and ATP production; oligomycin and dinitrophenol both decrease oxygen consumption.","Cyanide stops oxygen consumption and ATP synthesis; oligomycin stops ATP synthesis but initially increases oxygen consumption; dinitrophenol decreases ATP synthesis while increasing oxygen consumption due to proton leakage.","All three inhibitors stop oxygen consumption and ATP synthesis.","Dinitrophenol increases both oxygen consumption and ATP synthesis.",B,"Cyanide halts electron transport and oxygen consumption. Oligomycin blocks the proton channel of ATP synthase; proton pumping continues briefly, but oxygen consumption eventually decreases. Dinitrophenol uncouples oxidation from phosphorylation, so electrons flow rapidly and oxygen consumption increases while ATP synthesis drops.",Hard,"ETC inhibitors & uncouplers"
"What is a consequence of using the glycerol-3-phosphate shuttle instead of the malate-aspartate shuttle?","Cytosolic NADH yields the same ATP regardless of shuttle.","Electrons from cytosolic NADH are transferred to FAD, generating fewer ATP per NADH because they enter the ETC at complex II.","Electrons bypass the ETC entirely.","Electrons are transported directly to oxygen without pumping protons.",B,"The glycerol-3-phosphate shuttle transfers electrons to FAD in the inner membrane, yielding fewer ATP because electrons enter at complex II.",Medium,"Shuttles & ATP yield"
"Which evidence supports the endosymbiotic origin of mitochondria?","Mitochondria use the same ribosomes as the nucleus.","Mitochondria have circular DNA and bacterial-type ribosomes and divide by binary fission.","Mitochondria are synthesized de novo in the ER.","Mitochondria encode all proteins required for respiration.",B,"Mitochondria have circular DNA, bacterial-type ribosomes and divide by binary fission.",Medium,"Endosymbiotic theory – mitochondria"
"The proton-motive force drives processes other than ATP synthesis. Which of the following is one such process?","GTP hydrolysis in the cytosol.","Heat generation via uncoupling proteins and transport of ADP, phosphate or pyruvate across the inner membrane.","DNA replication in the nucleus.","Photosynthetic light reactions in chloroplasts.",B,"The proton gradient drives ATP/ADP exchange, phosphate and pyruvate transport, and heat generation via uncoupling proteins.",Medium,"Proton-motive force & transport"
