Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"Which statement best describes glycolysis in anaerobic muscle during intense exercise?","It converts two molecules of pyruvate into glucose while consuming two ATP and producing no NADH.","It splits glucose into two pyruvate molecules, yielding a net of two ATP and two NADH, and regenerates NAD⁺ by reducing pyruvate to lactate.","It occurs in mitochondria and yields 4 ATP per glucose but requires oxygen to regenerate NAD⁺.","It oxidizes glucose completely to CO₂, producing the majority of ATP in aerobic respiration.","B","Glycolysis splits glucose into two pyruvate molecules, netting 2 ATP and producing 2 NADH. Under anaerobic conditions NADH must be reoxidized; lactate dehydrogenase reduces pyruvate to lactate to regenerate NAD⁺."
"What is the total number of NADH, FADH₂ and ATP molecules produced per glucose during pyruvate oxidation and the citric acid cycle combined?","2 NADH, 0 FADH₂ and 2 ATP","4 NADH, 2 FADH₂ and 2 ATP","2 NADH, 1 FADH₂ and 1 ATP","8 NADH, 2 FADH₂ and 2 ATP","D","Two pyruvates yield 2 NADH in the transition reaction and 6 NADH, 2 FADH₂ and 2 ATP in the citric acid cycle."
"Why does NADH yield more ATP than FADH₂ in oxidative phosphorylation?","NADH donates electrons at complex I, which pumps protons, whereas FADH₂ donates at complex II, which does not pump protons.","NADH carries twice as many electrons per molecule as FADH₂.","FADH₂ is converted back to FAD in the cytosol, bypassing the electron transport chain.","FADH₂ enters the electron transport chain at complex IV, which consumes ATP.","A","NADH donates electrons at complex I, which pumps protons; FADH₂ donates at complex II, which does not pump protons."
"What process directly uses the proton gradient across the inner mitochondrial membrane to synthesize ATP?","Electron transfer from cytochrome c to oxygen","Substrate‑level phosphorylation in the citric acid cycle","Oxidative phosphorylation via ATP synthase, whose rotor turns as protons flow through it","Conversion of lactate to pyruvate in the cytosol","C","Oxidative phosphorylation uses the proton gradient; protons flow through ATP synthase, driving its rotor."
"Under typical conditions, approximately how many ATP molecules are generated per molecule of glucose in mammalian cells during aerobic respiration, and why is the number not exact?","2 ATP; because NADH produced in glycolysis cannot enter mitochondria.","4 ATP; because electron transport is inefficient.","30–32 ATP; because ATP yield varies depending on which shuttle transports cytosolic NADH into mitochondria.","36–38 ATP; because FADH₂ yields the same number of ATP as NADH.","C","About 30–32 ATP are produced because the ATP yield per cytosolic NADH varies with the shuttle used to transport electrons into mitochondria."
"Which combination of effectors correctly describes regulation of phosphofructokinase‑1 (PFK‑1)?","Activated by high ATP and citrate; inhibited by AMP and fructose‑2,6‑bisphosphate.","Inhibited by high ATP and citrate and low pH; activated by AMP and fructose‑2,6‑bisphosphate.","Inhibited by AMP; activated by ATP.","Activated by low pH; inhibited by AMP.","B","High ATP, citrate and low pH inhibit PFK‑1, while AMP and fructose‑2,6‑bisphosphate activate it."
"Which enzymes in the citric acid cycle are inhibited by high ATP and NADH levels, and what product of the cycle also inhibits one of them?","Citrate synthase and succinate dehydrogenase; malate.","Isocitrate dehydrogenase and α‑ketoglutarate dehydrogenase; succinyl‑CoA.","Aconitase and malate dehydrogenase; fumarate.","Pyruvate dehydrogenase and isocitrate dehydrogenase; α‑ketoglutarate.","B","Isocitrate dehydrogenase and α‑ketoglutarate dehydrogenase are inhibited by high ATP and NADH; succinyl‑CoA provides product inhibition."
"How does the availability of ADP influence oxygen consumption in mitochondria?","High ADP slows electron transport, decreasing oxygen consumption.","High ATP stimulates proton pumping, increasing oxygen consumption.","High ADP stimulates ATP synthase and accelerates electron flow and oxygen consumption.","Oxygen consumption is independent of ADP concentrations.","C","High ADP stimulates ATP synthase; proton flow resumes and electron transport and oxygen consumption increase."
"Which statement best describes the fate of glycerol and fatty acids after triglyceride breakdown?","Glycerol enters gluconeogenesis as oxaloacetate; fatty acids are converted directly into glucose.","Glycerol is deaminated to form ketone bodies; fatty acids undergo glycolysis.","Glycerol enters glycolysis at dihydroxyacetone phosphate, and fatty acids undergo β‑oxidation to yield acetyl‑CoA units.","Both glycerol and fatty acids are converted into lactate under anaerobic conditions.","C","Glycerol enters glycolysis as DHAP and fatty acids undergo β‑oxidation to form acetyl‑CoA."
"Why is protein catabolism considered a last resort for energy production?","Because amino acids cannot be converted into citric acid cycle intermediates.","Because removal of amino groups yields toxic ammonia and urea, and breaking down structural proteins compromises cell function.","Because protein catabolism produces more ATP per carbon than fats.","Because amino acids contain no energy in their carbon skeletons.","B","Protein catabolism removes amino groups, forming urea, and degrades essential structural proteins."
